@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,201,0,85,0,1,1,0.702797,1,0.297203,0.825462,1,1,0.030879
1,201,0,84,1,0.988235,1,0.705263,1,0.294737,0.82716,0.996503,1.003509,0.040199
2,201,0,83,2,0.976471,1,0.707746,1,0.292254,0.828866,0.993007,1.007042,0.046281
3,201,0,82,3,0.964706,1,0.710247,1,0.289753,0.830579,0.98951,1.010601,0.048446
4,201,0,81,4,0.952941,1,0.712766,1,0.287234,0.832298,0.986014,1.014184,0.056182
5,200,1,81,4,0.952941,0.995025,0.711744,0.995025,0.288256,0.829876,0.982517,1.01273,0.062005
6,200,1,80,5,0.941176,0.995025,0.714286,0.995025,0.285714,0.831601,0.979021,1.016347,0.067375
7,199,2,80,5,0.941176,0.99005,0.713262,0.99005,0.286738,0.829167,0.975524,1.01489,0.071063
8,199,2,79,6,0.929412,0.99005,0.715827,0.99005,0.284173,0.830898,0.972028,1.01854,0.075095
9,198,3,79,6,0.929412,0.985075,0.714801,0.985075,0.285199,0.828452,0.968531,1.017081,0.076264
10,198,3,78,7,0.917647,0.985075,0.717391,0.985075,0.282609,0.830189,0.965035,1.020766,0.07966
11,198,3,77,8,0.905882,0.985075,0.72,0.985075,0.28,0.831933,0.961538,1.024478,0.082842
12,198,3,76,9,0.894118,0.985075,0.722628,0.985075,0.277372,0.833684,0.958042,1.028217,0.084104
13,197,4,76,9,0.894118,0.9801,0.721612,0.9801,0.278388,0.831224,0.954545,1.026771,0.090865
14,196,5,76,9,0.894118,0.975124,0.720588,0.975124,0.279412,0.828753,0.951049,1.025315,0.096373
15,195,6,76,9,0.894118,0.970149,0.719557,0.970149,0.280443,0.826271,0.947552,1.023848,0.096748
16,194,7,76,9,0.894118,0.965174,0.718519,0.965174,0.281481,0.823779,0.944056,1.02237,0.098367
17,193,8,76,9,0.894118,0.960199,0.717472,0.960199,0.282528,0.821277,0.940559,1.020881,0.109808
18,193,8,75,10,0.882353,0.960199,0.720149,0.960199,0.279851,0.823028,0.937063,1.02469,0.110998
19,192,9,75,10,0.882353,0.955224,0.719101,0.955224,0.280899,0.820513,0.933566,1.023199,0.115497
20,192,9,74,11,0.870588,0.955224,0.721805,0.955224,0.278195,0.82227,0.93007,1.027045,0.117773
21,192,9,73,12,0.858824,0.955224,0.724528,0.955224,0.275472,0.824034,0.926573,1.030921,0.118644
22,192,9,72,13,0.847059,0.955224,0.727273,0.955224,0.272727,0.825806,0.923077,1.034826,0.119247
23,191,10,72,13,0.847059,0.950249,0.726236,0.950249,0.273764,0.823276,0.91958,1.03335,0.121998
24,191,10,71,14,0.835294,0.950249,0.729008,0.950249,0.270992,0.825054,0.916084,1.037294,0.124571
25,190,11,71,14,0.835294,0.945274,0.727969,0.945274,0.272031,0.822511,0.912587,1.035817,0.133652
26,189,12,71,14,0.835294,0.940299,0.726923,0.940299,0.273077,0.819957,0.909091,1.034328,0.144121
27,189,12,70,15,0.823529,0.940299,0.72973,0.940299,0.27027,0.821739,0.905594,1.038322,0.147164
28,188,13,70,15,0.823529,0.935323,0.728682,0.935323,0.271318,0.819172,0.902098,1.036831,0.147253
29,187,14,70,15,0.823529,0.930348,0.727626,0.930348,0.272374,0.816594,0.898601,1.035329,0.160843
30,186,15,70,15,0.823529,0.925373,0.726563,0.925373,0.273438,0.814004,0.895105,1.033815,0.174049
31,185,16,70,15,0.823529,0.920398,0.72549,0.920398,0.27451,0.811404,0.891608,1.03229,0.177316
32,184,17,70,15,0.823529,0.915423,0.724409,0.915423,0.275591,0.808791,0.888112,1.030752,0.177463
33,184,17,69,16,0.811765,0.915423,0.727273,0.915423,0.272727,0.810573,0.884615,1.034826,0.177673
34,183,18,69,16,0.811765,0.910448,0.72619,0.910448,0.27381,0.807947,0.881119,1.033286,0.178251
35,183,18,68,17,0.8,0.910448,0.729084,0.910448,0.270916,0.809735,0.877622,1.037403,0.180762
36,183,18,67,18,0.788235,0.910448,0.732,0.910448,0.268,0.81153,0.874126,1.041552,0.185954
37,183,18,66,19,0.776471,0.910448,0.73494,0.910448,0.26506,0.813333,0.870629,1.045735,0.192074
38,183,18,65,20,0.764706,0.910448,0.737903,0.910448,0.262097,0.815145,0.867133,1.049952,0.201813
39,183,18,64,21,0.752941,0.910448,0.740891,0.910448,0.259109,0.816964,0.863636,1.054203,0.214219
40,183,18,63,22,0.741176,0.910448,0.743902,0.910448,0.256098,0.818792,0.86014,1.058488,0.222283
41,182,19,63,22,0.741176,0.905473,0.742857,0.905473,0.257143,0.816143,0.856643,1.057001,0.223821
42,182,19,62,23,0.729412,0.905473,0.745902,0.905473,0.254098,0.817978,0.853147,1.061333,0.225508
43,182,19,61,24,0.717647,0.905473,0.748971,0.905473,0.251029,0.81982,0.84965,1.0657,0.233
44,181,20,61,24,0.717647,0.900498,0.747934,0.900498,0.252066,0.817156,0.846154,1.064224,0.235594
45,181,20,60,25,0.705882,0.900498,0.751037,0.900498,0.248963,0.819005,0.842657,1.06864,0.241709
46,180,21,60,25,0.705882,0.895522,0.75,0.895522,0.25,0.816327,0.839161,1.067164,0.249977
47,179,22,60,25,0.705882,0.890547,0.748954,0.890547,0.251046,0.813636,0.835664,1.065676,0.258472
48,179,22,59,26,0.694118,0.890547,0.752101,0.890547,0.247899,0.81549,0.832168,1.070153,0.27288
49,179,22,58,27,0.682353,0.890547,0.755274,0.890547,0.244726,0.817352,0.828671,1.074669,0.280876
50,179,22,57,28,0.670588,0.890547,0.758475,0.890547,0.241525,0.819222,0.825175,1.079223,0.289133
51,179,22,56,29,0.658824,0.890547,0.761702,0.890547,0.238298,0.821101,0.821678,1.083815,0.333194
52,178,23,56,29,0.658824,0.885572,0.760684,0.885572,0.239316,0.818391,0.818182,1.082366,0.363196
53,178,23,55,30,0.647059,0.885572,0.763948,0.885572,0.236052,0.820276,0.814685,1.087011,0.36722
54,177,24,55,30,0.647059,0.880597,0.762931,0.880597,0.237069,0.817552,0.811189,1.085564,0.381616
55,176,25,55,30,0.647059,0.875622,0.761905,0.875622,0.238095,0.814815,0.807692,1.084103,0.399008
56,176,25,54,31,0.635294,0.875622,0.765217,0.875622,0.234783,0.816705,0.804196,1.088817,0.399069
57,176,25,53,32,0.623529,0.875622,0.768559,0.875622,0.231441,0.818605,0.800699,1.093571,0.401552
58,176,25,52,33,0.611765,0.875622,0.77193,0.875622,0.22807,0.820513,0.797203,1.098368,0.412811
59,176,25,51,34,0.6,0.875622,0.77533,0.875622,0.22467,0.82243,0.793706,1.103206,0.414047
60,175,26,51,34,0.6,0.870647,0.774336,0.870647,0.225664,0.819672,0.79021,1.101792,0.414541
61,175,26,50,35,0.588235,0.870647,0.777778,0.870647,0.222222,0.821596,0.786713,1.106689,0.42814
62,174,27,50,35,0.588235,0.865672,0.776786,0.865672,0.223214,0.818824,0.783217,1.105277,0.439205
63,173,28,50,35,0.588235,0.860697,0.775785,0.860697,0.224215,0.816038,0.77972,1.103853,0.460248
64,172,29,50,35,0.588235,0.855721,0.774775,0.855721,0.225225,0.813239,0.776224,1.102416,0.496334
65,171,30,50,35,0.588235,0.850746,0.773756,0.850746,0.226244,0.810427,0.772727,1.100966,0.497854
66,171,30,49,36,0.576471,0.850746,0.777273,0.850746,0.222727,0.812352,0.769231,1.10597,0.499418
67,171,30,48,37,0.564706,0.850746,0.780822,0.850746,0.219178,0.814286,0.765734,1.11102,0.505386
68,170,31,48,37,0.564706,0.845771,0.779817,0.845771,0.220183,0.811456,0.762238,1.10959,0.512821
