@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0
1,32,0,122,1,0.99187,1,0.207792,1,0.792208,0.344086,0.993548,1.006494,0
2,32,0,121,2,0.98374,1,0.20915,1,0.79085,0.345946,0.987097,1.013072,0
3,32,0,120,3,0.97561,1,0.210526,1,0.789474,0.347826,0.980645,1.019737,0.000001
4,32,0,119,4,0.96748,1,0.211921,1,0.788079,0.349727,0.974194,1.02649,0.000001
5,32,0,118,5,0.95935,1,0.213333,1,0.786667,0.351648,0.967742,1.033333,0.000001
6,32,0,117,6,0.95122,1,0.214765,1,0.785235,0.353591,0.96129,1.040268,0.000001
7,31,1,117,6,0.95122,0.96875,0.209459,0.96875,0.790541,0.344444,0.954839,1.014569,0.000001
8,31,1,116,7,0.943089,0.96875,0.210884,0.96875,0.789116,0.346369,0.948387,1.021471,0.000002
9,31,1,115,8,0.934959,0.96875,0.212329,0.96875,0.787671,0.348315,0.941935,1.028467,0.000002
10,31,1,114,9,0.926829,0.96875,0.213793,0.96875,0.786207,0.350282,0.935484,1.03556,0.000002
11,31,1,113,10,0.918699,0.96875,0.215278,0.96875,0.784722,0.352273,0.929032,1.042752,0.000002
12,31,1,112,11,0.910569,0.96875,0.216783,0.96875,0.783217,0.354286,0.922581,1.050044,0.000002
13,31,1,111,12,0.902439,0.96875,0.21831,0.96875,0.78169,0.356322,0.916129,1.057438,0.000003
14,31,1,110,13,0.894309,0.96875,0.219858,0.96875,0.780142,0.358382,0.909677,1.064938,0.000004
15,31,1,109,14,0.886179,0.96875,0.221429,0.96875,0.778571,0.360465,0.903226,1.072545,0.000004
16,31,1,108,15,0.878049,0.96875,0.223022,0.96875,0.776978,0.362573,0.896774,1.080261,0.000005
17,31,1,107,16,0.869919,0.96875,0.224638,0.96875,0.775362,0.364706,0.890323,1.088089,0.000005
18,31,1,106,17,0.861789,0.96875,0.226277,0.96875,0.773723,0.366864,0.883871,1.096031,0.000005
19,31,1,105,18,0.853659,0.96875,0.227941,0.96875,0.772059,0.369048,0.877419,1.10409,0.000005
20,31,1,104,19,0.845528,0.96875,0.22963,0.96875,0.77037,0.371257,0.870968,1.112269,0.000006
21,31,1,103,20,0.837398,0.96875,0.231343,0.96875,0.768657,0.373494,0.864516,1.120569,0.000006
22,31,1,102,21,0.829268,0.96875,0.233083,0.96875,0.766917,0.375758,0.858065,1.128994,0.000006
23,31,1,101,22,0.821138,0.96875,0.234848,0.96875,0.765152,0.378049,0.851613,1.137547,0.000007
24,31,1,100,23,0.813008,0.96875,0.236641,0.96875,0.763359,0.380368,0.845161,1.146231,0.000007
25,31,1,99,24,0.804878,0.96875,0.238462,0.96875,0.761538,0.382716,0.83871,1.155048,0.000009
26,31,1,98,25,0.796748,0.96875,0.24031,0.96875,0.75969,0.385093,0.832258,1.164002,0.000011
27,31,1,97,26,0.788618,0.96875,0.242188,0.96875,0.757813,0.3875,0.825806,1.173096,0.000011
28,31,1,96,27,0.780488,0.96875,0.244094,0.96875,0.755906,0.389937,0.819355,1.182333,0.000011
29,31,1,95,28,0.772358,0.96875,0.246032,0.96875,0.753968,0.392405,0.812903,1.191716,0.000013
30,31,1,94,29,0.764228,0.96875,0.248,0.96875,0.752,0.394904,0.806452,1.20125,0.000015
31,31,1,93,30,0.756098,0.96875,0.25,0.96875,0.75,0.397436,0.8,1.210938,0.000019
32,31,1,92,31,0.747967,0.96875,0.252033,0.96875,0.747967,0.4,0.793548,1.220783,0.000022
33,31,1,91,32,0.739837,0.96875,0.254098,0.96875,0.745902,0.402597,0.787097,1.230789,0.000022
34,31,1,90,33,0.731707,0.96875,0.256198,0.96875,0.743802,0.405229,0.780645,1.240961,0.000024
35,31,1,89,34,0.723577,0.96875,0.258333,0.96875,0.741667,0.407895,0.774194,1.251302,0.000027
36,31,1,88,35,0.715447,0.96875,0.260504,0.96875,0.739496,0.410596,0.767742,1.261817,0.000031
37,31,1,87,36,0.707317,0.96875,0.262712,0.96875,0.737288,0.413333,0.76129,1.272511,0.000032
38,31,1,86,37,0.699187,0.96875,0.264957,0.96875,0.735043,0.416107,0.754839,1.283387,0.000039
39,31,1,85,38,0.691057,0.96875,0.267241,0.96875,0.732759,0.418919,0.748387,1.29445,0.000067
40,31,1,84,39,0.682927,0.96875,0.269565,0.96875,0.730435,0.421769,0.741935,1.305707,0.000077
41,31,1,83,40,0.674797,0.96875,0.27193,0.96875,0.72807,0.424658,0.735484,1.31716,0.000114
42,31,1,82,41,0.666667,0.96875,0.274336,0.96875,0.725664,0.427586,0.729032,1.328816,0.000128
43,31,1,81,42,0.658537,0.96875,0.276786,0.96875,0.723214,0.430556,0.722581,1.340681,0.000147
44,31,1,80,43,0.650407,0.96875,0.279279,0.96875,0.720721,0.433566,0.716129,1.352759,0.000151
45,31,1,79,44,0.642276,0.96875,0.281818,0.96875,0.718182,0.43662,0.709677,1.365057,0.000165
46,31,1,78,45,0.634146,0.96875,0.284404,0.96875,0.715596,0.439716,0.703226,1.37758,0.000168
47,30,2,78,45,0.634146,0.9375,0.277778,0.9375,0.722222,0.428571,0.696774,1.345486,0.000203
48,30,2,77,46,0.626016,0.9375,0.280374,0.9375,0.719626,0.431655,0.690323,1.358061,0.000207
49,30,2,76,47,0.617886,0.9375,0.283019,0.9375,0.716981,0.434783,0.683871,1.370873,0.000211
50,30,2,75,48,0.609756,0.9375,0.285714,0.9375,0.714286,0.437956,0.677419,1.383929,0.000216
51,30,2,74,49,0.601626,0.9375,0.288462,0.9375,0.711538,0.441176,0.670968,1.397236,0.000239
